account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300041,Z3-48(6),L4,Zone_03_(A),D-48 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.83,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300183,D-49 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,3.86,3.31,3.39,2.87,2.78,2.5,2.8,2.81,2.55,2.11,1.99,2.09,2.11,2.3,2.08,2.67,2.54,1.86,2.63,2.51,2.63,2.44,1.77,2.42,1.99,2.64,2.42,2.6,2.26,2.51,2.79
4300140,D 49-Building Common,L4,Zone_03_(A),D-49 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.05,0,0.22,0.01,0.01,0,0.01,0.01,0,0.02,0,0,0.03,0.01,0,0.01,0,0,0.02,0.03,0.01,0.02,0,0,0.02,0.03,0.01,0.01,0.05,0,0.01
4300010,Z3-049(4),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0
4300107,Z3-49(1),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.28,0.36,0.14,0.39,0.51,0.2,0.34,0.44,0.18,0.23,0.41,0.53,0.39,0.39,0.15,0.2,0.48,0.16,0.61,0.25,0.35,0.46,0.16,0.39,0.34,0.51,0.32,0.24,0.5,0.23,0.24
4300108,Z3-49(2),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.53,0.48,0.68,0.24,0.51,0.33,0.36,0.48,0.37,0.66,0.25,0.4,0.63,0.71,0.7,1,0.6,0.43,0.77,0.75,0.6,0.63,0.58,0.7,0.51,0.56,0.4,0.68,0.28,0.61,0.8
4300004,Z3-49(3),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.47,0.3,0.3,0.35,0.35,0.17,0.35,0.21,0.27,0.35,0.48,0.38,0.31,0.32,0.29,0.3,0.16,0.27,0.25,0.45,0.34,0.5,0.09,0,0.05,0.56,0.47,0.62,0.46,0.61,0.45
4300053,Z3-49(5),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.32,0.36,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300061,Z3-49(6),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.5,1.11,1.14,1.05,0.81,0.98,0.98,0.9,1.23,0.82,0.8,0.72,0.73,0.81,0.91,1.11,1.16,0.86,0.77,0.88,1.09,0.75,0.71,0.77,0.87,0.84,1.05,0.9,0.93,1.11,1.34
4300184,D-50 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,1.22,1.37,1.83,1.23,1.44,1.66,1.66,1.58,1.07,2.08,1.65,1.52,1.87,1.88,1.72,1.2,5.87,8.28,2.34,1.63,1.38,1.22,1.14,1.37,1.52,1.26,1.26,1.05,0.85,1.65,1.08
4300136,D 50-Building Common,L4,Zone_03_(A),D-50 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.04,0.01,0.07,0.04,0.03,0.06,0.03,0.02,0.02,0.07,0.03,0.07,0.05,0.04,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.03,0.02,0.06,0.04,0.04,0.04,0.05,0.04,0.01,0.07
4300114,Z3-050(2),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300109,Z3-50(1),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.06,0.03,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300047,Z3-50(3),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300021,Z3-50(4),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.29,0.65,0.68,0.3,0.61,0.27,0.81,0.58,0.54,0.97,0.52,0.55,0.72,0.99,0.86,0.79,0.46,0.09,0.21,0.18,0.27,0.29,0.34,0.3,0.24,0.19,0.23,0.21,0.21,0.53,0.34
4300027,Z3-50(5),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.52,0.34,0.47,0.35,0.27,0.32,0.25,0.5,0.2,0.46,0.44,0.2,0.23,0.37,0.26,0.22,5.17,7.68,1.56,0.6,0.32,0.31,0.32,0.38,0.42,0.37,0.31,0.26,0.23,0.81,0.22
4300028,Z3-50(6),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.31,0.39,0.56,0.53,0.58,1.04,0.6,0.52,0.35,0.61,0.69,0.76,0.61,0.47,0.58,0.13,0.22,0.45,0.5,0.83,0.77,0.62,0.48,0.66,0.84,0.69,0.72,0.56,0.4,0.31,0.48
4300185,D-51 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
4300137,D 51-Building Common,L4,Zone_03_(A),D-51 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.05,0.01,0.02,0.05,0.04,0.7,0.04,0.03,0.03,0.04,0.11,0.04,0.05,0.07,0.01,0,0.03,0.05,0.06,0.05,0.06,0.08,0.03,0.02,0.06,0.03,0.05,0.05,0.05,0.01,0.03
4300128,Z3-051(5),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.82,0.75,0.91,0.58,0.61,0.68,1.26,0.71,0.65,0.58,0.81,0.69,0.65,1.24,0.48,0.46,0.51,0.48,0.66,0.58,0.65,0.86,0.93,1.23,0.61,0.5,0.52,0.52,0.62,0.78,0.92
