account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300136,D 50-Building Common,L4,Zone_03_(A),D-50 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.06,0.03,0.06,0.04,0.04,0.16,0.08,0.05,0.05,0.05,0.07,0.07,0.01,0.04,0.06,0.04,0.1,0.1,0.06,0.01,0.06,0.05,0.05,0.04,0.04,0.05,0.01,0.04,0,0,0
4300114,Z3-050(2),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0.03,0.13,0.09,0,0,0.15,0.28,0.22,0,0,0,0,0.21,0.47,0.35,0.45,0,0,0,0,0,0,0,0,0,0
4300109,Z3-50(1),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0.02,0.06,0.05,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300047,Z3-50(3),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300021,Z3-50(4),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.14,0.13,0.08,0.19,0.26,0.3,0.79,0.23,0.44,0.12,0.28,0.38,0.01,0,0,0,0,0,0,0,0,0.24,0.16,0.31,0.19,0.25,0.23,0.46,0,0,0
4300027,Z3-50(5),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.26,0.4,0.23,0,0,0.23,0.41,0.29,0.28,0.34,0.29,0.31,0.85,0.28,0.37,0.24,0.32,0.24,0.34,0.3,0.23,0.63,0.21,0.43,0.58,0.42,0.86,0.72,0,0,0
4300028,Z3-50(6),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.85,0.51,0.7,0.27,0.41,0.14,0.4,0.63,0.4,0.44,0.47,0.37,0.35,0.38,0.98,0.34,0.61,0.29,0.48,0.36,0.47,1.07,0.3,0.5,0.7,0.76,0.55,0.76,0,0,0
4300185,D-51 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,4.42,4.43,4.97,4.75,5.61,4.42,4.33,5.47,5.22,5.83,6,4.52,4.63,5.05,5.83,5.99,4.97,4.84,4.78,5.11,5.79,5.45,5.3,5.67,6.71,5.36,5.75,5.44,0,0,0
4300137,D 51-Building Common,L4,Zone_03_(A),D-51 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.26,0.09,0.04,0.04,0.24,0.04,0.05,0.05,0.07,0.1,0.06,0.09,0.05,0.02,0.07,0.04,0.07,0.06,0.04,0.02,0.03,0.05,0.04,0.09,0.04,0.03,0.03,0.02,0,0,0
4300128,Z3-051(5),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.78,0.79,0.73,0.84,0.8,0.63,0.72,1.67,0.68,0.64,0.56,0.52,0.7,1.41,0.86,0.72,0.76,0.77,0.64,0.78,0.59,0.81,0.66,0.82,1.66,0.78,0.57,1.08,0,0,0
