account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300107,Z3-49(1),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.49,0.35,0.39,0.33,0.39,0.33,0.18,0.55,0.4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300108,Z3-49(2),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300004,Z3-49(3),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.31,0.45,0.5,0.21,0.18,0.2,0.09,0.31,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300053,Z3-49(5),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.42,0.33,0.33,0.87,0.53,0.41,0.44,0.36,0.39,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300061,Z3-49(6),L4,Zone_03_(A),D-49 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.77,0.71,0.48,0.91,0.61,0.77,0.76,0.5,0.93,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300184,D-50 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,1.77,0.95,1.79,1.62,1.58,2.67,4.22,3.38,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300136,D 50-Building Common,L4,Zone_03_(A),D-50 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.03,0.04,0.02,0.03,0.03,0.02,0.03,0.05,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300114,Z3-050(2),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300109,Z3-50(1),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0.02,1.12,2.56,1.09,1.19,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300047,Z3-50(3),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300021,Z3-50(4),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.18,0.15,0.23,0.4,0.13,0.35,0.4,0.16,0.29,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300027,Z3-50(5),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.6,0.26,0.83,0.87,0.67,0.51,0.79,0.83,1.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300028,Z3-50(6),L4,Zone_03_(A),D-50 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.99,0.54,0.74,0.34,0.74,0.74,0.51,1.3,1.09,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300185,D-51 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,5.57,5.32,6.35,6.86,6.69,5.33,5.18,5.83,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300137,D 51-Building Common,L4,Zone_03_(A),D-51 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.06,0.06,0.16,0.05,0.05,0.01,0.04,0.11,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300128,Z3-051(5),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.64,0.65,0.54,0.83,0.87,0.61,0.71,0.79,0.57,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300111,Z3-51(1),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.63,0.68,0.61,0.53,1,0.5,0.48,0.36,0.59,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300112,Z3-51(2),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Mar-26,2026,1.29,1.18,1.19,1.36,1.61,1.22,1.14,1.47,1.18,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300121,Z3-51(3),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.35,0.32,0.6,0.45,0.43,0.44,0.43,0.43,0.43,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
